Designation,ZCTA,Population,Per Capita Income
"Boston, Massachusetts",02108,3446,78771
"Boston, Massachusetts",02109,3428,82689
"Boston, Massachusetts",02110,1428,82736
"Boston, Massachusetts",02199,1005,88974
"Weston, Massachusetts",02493,11469,79640
"Darien, Connecticut",06820,19607,77519
"Greenwich, Connecticut",06831,15167,97111
"New Canaan, Connecticut",06840,19402,81934
"Norwalk, Connecticut",06853,3466,71642
"Old Greenwich, Connecticut[15]",06870,7092,72317
"Westport, Connecticut",06880,25807,74064
"Weston, Connecticut",06883,10037,74817
"Essex Fells, New Jersey",07021,2151,77787
"Short Hills, New Jersey",07078,12849,92940
"Mc Afee, New Jersey[9]",07428,127,84595
"Teterboro, New Jersey",07608,18,72613
"Alpine, New Jersey",07620,1649,80621
"Rumson, New Jersey",07760,9665,71585
"Far Hills, New Jersey",07931,2766,82227
"Upper East Side, New York",10021,102078,91064
"Midtown East, New York",10022,30642,95196
"Upper West Side, New York",10023,62206,79736
"Manhattan Valley, New York",10024,61414,77824
"Yorkville, New York",10028,44987,85866
"Upper West Side, New York",10069,1403,90113
"Yorkville, New York",10128,59856,72691
"New York, New York",10162,1726,84938
"Financial District, New York",10280,6614,83639
"Battery Park, New York",10282,1574,82348
"Ardsley-on-Hudson, New York[13]",10503,115,78591
"Bedford, New York",10506,5537,75723
"Chappaqua, New York",10514,12004,78647
"Pound Ridge, New York",10576,4530,74127
"Rye, New York",10580,16737,77721
"Old Westbury, New York",11568,3992,72932
"Mill Neck, New York",11765,732,77420
"Esopus, New York",12429,51,155540
"Gladwyne, Pennsylvania",19035,4050,90940
"Montchanin, Delaware[2]",19710,68,654485
"Rockland, Delaware[3]",19732,77,279424
"Yorklyn, Delaware[10]",19736,63,83524
"Wilmington, Delaware",19807,7345,76651
"Washington, D.C.",20004,901,73803
"Bacova, Virginia[11]",24412,89,79439
"Altamahaw, North Carolina[6]",27202,24,91666
"Corolla, North Carolina",27927,648,71301
"Rex, North Carolina",28378,49,77306
"Atlanta, Georgia",30326,1075,80161
"Atlanta, Georgia",30327,21003,85883
"Vero Beach, Florida",32963,14077,75761
"Miami Beach, Florida",33109,467,236238
"Palm Beach, Florida",33480,11200,104294
"Boca Grande, Florida",33921,1500,107297
"Captiva, Florida",33924,339,77458
"Pineland, Florida",33945,79,162075
"Longboat Key, Florida",34228,7603,80963
"Point Clear, Alabama",36564,107,89571
"Gates Mills, Ohio",44040,2883,71016
"Springboro, Ohio",45066,17409,78786
"Indianapolis, Indiana",46290,189,103347
"Bloomfield Hills, Michigan",48302,16409,71985
"Mullett Lake, Michigan",49761,31,84692
"Lake McDonald, Montana[8]",59921,2,85000
"Glencoe, Illinois",60022,8490,88126
"Kenilworth, Illinois",60043,2617,99087
"Lake Forest, Illinois",60045,22248,75991
"Winnetka, Illinois",60093,19528,79651
"Chicago, Illinois",60601,5591,76157
"Chicago, Illinois",60606,1682,70878
"Chicago, Illinois",60611,26522,82930
"St. Louis, Missouri",63124,9819,78598
"Glencoe, Arkansas",72539,318,86724
"Dallas, Texas",75225,20314,76203
"Houston, Texas",77010,76,283189
"Houston, Texas",77046,471,85070
"Austin, Texas",78730,4885,72110
"Wyarno, Wyoming[5]",82845,49,94109
"Paradise Valley, Arizona",85253,17560,74605
"Henderson, Nevada",89012,175,148899
"Glenbrook, Nevada[14]",89413,365,77639
"Brentwood, Los Angeles, California",90049,33520,75965
"Century City, California",90067,2524,86319
"Bel Air, California",90077,10465,96584
"Beverly Hills, California",90210,21396,97198
"Pacific Palisades, California",90272,22538,81609
"Santa Monica, California",90402,11492,91147
"Rancho Santa Fe, California",92067,7601,104487
"Indian Wells, California",92210,3859,77302
"Corona del Mar, California",92625,13407,76704
"Newport Coast, California",92657,5586,76870
"Los Altos, California",94022,18466,81257
"Atherton, California",94027,6857,114359
"Portola Valley, California",94028,6595,96373
"San Francisco, California",94105,2058,88829
"San Francisco, California",94111,3335,75344
"San Francisco, California",94123,22903,81044
"Belvedere-Tiburon, California[7]",94920,13048,86992
"Davis, California",95618,643,80713
"Medina, Washington",98039,3050,81926
"Deer Harbor, Washington[4]",98243,141,107173